abadede.fpg|wrestler,strong
f_bk3_axel.fpg|axel
f_blaze.fpg|blaze
f_electra_char.fpg|electra
f_max.fpg|max
f_mry.fpg|mrx
f_roo_char.fpg|roo,victy
f_rudra_char.fpg|rudra
f_skate.fpg|skate,sammy,eddie
f_sor1_axel.fpg|axel
f_sor1_blaze.fpg|blaze
f_sor2_blaze.fpg|blaze
f_sor2_shiva.fpg|shiva
f_sor2_skate.fpg|skate
f_sor3_shiva.fpg|shiva
f_zan.fpg|zan
galeria.fpg|galery,artwork,concept art,art
galeria1.fpg|biography,story,info,character
galsia.fpg|galsia,sor2
galsiax.fpg|galsia,sor3
galsia_sor1.fpg|galsia,sor1
galvice.fpg|galsia,sorr,regatta
garnet.fpg|garnet,Soozie
gato.wav|cat
general.fpg|star,counter,gamepad,
gold.fpg|gold,suit,gun,pistol,revolver,sunglass
hakuyo.fpg|haku,ninja,hakuyo,hadoken,sor2
haku_oh.fpg|haku,ninja,hakuyo,sor1
helicoptero1.wav|helicopter
helicoptero2.wav|helicopter,gate
helicoptero3.wav|helicopter,wind
icono.fpg|empty
iconox.fpg|characters
inicio.fpg|title screen,logo,game,sor,
intro1.fpg|intro
intro4.fpg|intro
intro5.fpg|intro
intro6.fpg|intro
intro7.fpg|intro
item.fpg|item,soda,water,juice,apple,candy,cherry,coffee,tea,pear,orange,musse,donut,pizza,hamburger,cheeseburger,burger,pineaple,meat,grapes,chicken,diamond,pearl,money,cash,glasses,glove,radio,coin,watch,gold,moneybag,pin,police,1up,life,special,gauge,specialbar,ok,super
item1eng.fpg|item,names,english
item1spa.fpg|item,names,spanish
jack.fpg|jack,knife,laught
jet.fpg|jet,jetpack
jetx.fpg|jet,jetpack
letrero.fpg|signboard
lista_sormaker.fpg|sormaker
logo.fpg|logo,bombergames
max.fpg|max
mision9.fpg|mission
modos.fpg|menu,modes
movie.fpg|menu,movie
mrx.fpg|mrx,mr x
mrx.wav|mrx,mr x,playable
mry.fpg|mrx
nameditor.fpg|name,editor
neox.fpg|robot,neox,neo x,
ninja.fpg|ninja,shuriken,sword,sor2
ninjax.fpg|ninja,shuriken,sword,sor3
ninjo.fpg|shirtless,ninja,sword,sorr,remake
objeto.fpg|item,tube,pipe,cane,sword,bat,4x4,board,shiriken,kunai,granade,pepper,star wars,light,bottle,gun,pistol,machine gun,smg,bazooka,shotgun,flamethrower,flameshot,hammer,banhammer,shuriken,missile,yamato,clown,axe,obstacle,object,breakable,plant,trashcan,drum,box,crate,chest,lamp,buoy,table,wall,statue,sculpture,sandbag,pitcher,jug,arcade,alien egg,broken
onihime.fpg|yasha,onihime,mona,lisa,monalisa,twin,purple
p1.fpg|robot,p1
pajaros.wav|bird
particle.fpg|robot
payaso.fpg|clown,fire,sor1
police.fpg|murpy,police,cop,bazooka,helicopter,car
police_bonus.fpg|car,police,bonus,challenge
polvo.fpg|smoke,ground,stream
puerta.wav|door
puntos_tienda.fpg|score,end,
rbear.fpg|boxing,boxer,rbear,mustache
resultado.fpg|versus,multiplayer,battle,lines
resultado_s.fpg|versus,multiplayer,battle,lines
robotx.fpg|robotx,robot
rocket.fpg|rocket,jet,jetpack
roo.fpg|kangaroo,victy,roo
roo1.wav|kangaroo,victy,roo,death
roo2.wav|kangaroo,victy,roo
roo3.wav|kangaroo,victy,roo
roo4.wav|kangaroo,victy,roo,whistle
roo_char.fpg|kangaroo,victy,roo
route_map.fpg|route,map,city
rudra.fpg|rudra
rudra.wav|rudra
rudra1.wav|rudra,end
rudra2.wav|rudra,end
rudra3.wav|rudra,end
rudra_char.fpg|rudra
rudre.wav|rudra,end
scroll3.fpg|main,menu
scroll4.fpg|select screen
se1.wav|attack,punch
se10.wav|star,
se103.wav|zan,special
se104.wav|zan,death
se105.wav|zan
se11.wav|attack,punch
se12.wav|stomp
se13.wav|shock,electra,hit
se14.wav|whip,electra,hit
se15.wav|glass,hit,obstacle,object,breakable
se16.wav|knife,cut,pierce,knife,sword
se17.wav|axel,shiva,special
se18.wav|roll,spin
se19.wav|blaze,skate,sammy,eddie,kick,special
se2.wav|jump
se20.wav|skate,sammy,eddie
se21.wav|slide,max,signal
se22.wav|blaze,skate,sammy,eddie,kick,special
se23.wav|stomp
se24.wav|menu,select,choose,start,pause
se25.wav|menu,select,choose
se26.wav|go,ahead,foward,arrow,back,return,menu
se27.wav|elevator,floor
se28.wav|jet,shiva
se29.wav|bongo,fat,flame,fire,clown
se3.wav|shot
se30.wav|stomp
se31.wav|time,time over,game over,
se32.wav|i dont know
se33.wav|i dont know
se34.wav|axe,throw,hit,clown
se35.wav|rain,water,beach
se36.wav|sword,cut
se36a.wav|sword,light sword,light,star wars
se36b.wav|sword,light sword,light,star wars
se37.wav|hit,attack
se38.wav|score,sor1
se39.wav|i dont know
se4.wav|flame,fire
se40.wav|i dont know
se41.wav|elevator
se42.wav|police,helicopter
se43.wav|door,gate
se44.wav|bullet,mrx,mr x,gun,machine gun
se45.wav|fall,ground,throw
se46.wav|eat,food,item
se47.wav|audience,public,arena,abadede,people
se48.wav|drum,object,robot
se49.wav|granade,explosion,drum
se5.wav|attack,punch,throw
se50.wav|attack,punch
se51.wav|bike,motorbike,biker,vehicle,storm
se52.wav|explosion
se53.wav|axel,hit,grand upper
se54.wav|hit,attack
se55.wav|zan,run,robot
se56.wav|thunder,rain
se57.wav|title,intro
se58.wav|attack
se59.wav|hit,attack
se6.wav|throw
se60.wav|hit,attack
se61.wav|hit,attack
se62.wav|pause,menu
se63.wav|sonic,score,end
se64.wav|shot,gun
se65.wav|robot,stomp
se67.wav|headbut,axel,sor1
se68.wav|granade,fall,enemy,bongo
se69.wav|hit,attack,boxer,rbear
se7.wav|laser,shot
se70.wav|alien egg,
se71.wav|police,item,score
se72.wav|object,obstacle,light,hit
se73.wav|object,obstacle,light,hit
se74.wav|robot,hit,attack
se75.wav|police,car,vrum,aceleration
se76.wav|police,car,stop
se77.wav|police,shot
se78.wav|police,bazooka,flame,fire,explosion
se79.wav|explosion
se8.wav|whip,electra
se80.wav|laxine,bomb,explosion,hadoken
se81.wav|press,machine,trap,factory
se82.wav|shock,eletric,trap,laboratory,doctor
se83.wav|shock,eletric,trap,laboratory,doctor
se84.wav|train,railway,machine,trap
se85.wav|scream,woman,electra,firl,sor1
se86.wav|water,stomp,fall,jump
se87.wav|water,stomp
se88.wav|cutscene,scene,story,dialog
se89.wav|i dont know
se9.wav|1up,life
se90.wav|press,machine
seaxel1.wav|axel
seaxel2.wav|axel,grand upper,blitz
seaxel4.wav|axel,death
seblaze1.wav|blaze,death
seblaze2.wav|blaze
seblaze3.wav|blaze,blitz
seblaze4.wav|blaze,special
seblaze5.wav|blaze
seblaze6.wav|blaze
seblaze7.wav|blaze
seeker.fpg|robot,explosion
seg1.wav|hit,attack
seg2.wav|hit,attack
seg3.wav|hit,attack
seg4.wav|hit,attack
seg5.wav|hit,attack
seg6.wav|hit,attack,pipe
seg7.wav|hit,attack,pipe
seg8.wav|hit,attack,hadoken,hakuyo
seg9.wav|hit,attack
semax1.wav|max
semax3.wav|max,death
semax4.wav|max,oriah
semax5.wav|max,special
seskate1.wav|skate,sammy,eddie
seskate2.wav|skate,sammy,eddie,death
seskate3.wav|skate,sammy,eddie
seskate4.wav|skate,sammy,eddie
seskate5.wav|skate,sammy,eddie
seskate6.wav|skate,sammy,eddie
sev1.wav|death,die
sev10.wav|granade,biker,storm
sev11.wav|bongo,fat,laught,robotx
sev12.wav|death,die
sev13.wav|death,die
sev17.wav|barbon
sev18.wav|scream,ninja
sev19.wav|abadede,scream
sev2.wav|death,die
sev20.wav|electra,blaze,woman
sev21.wav|mrx,mr x,laught
sev22.wav|death,die
sev23.wav|death,die
sev24.wav|death,die,yamato,shiva,bruce
sev25.wav|shiva,final crash,sor2
sev26.wav|oba
sev27.wav|barbon
sev29.wav|ninja,mifune
sev3.wav|signal,throw
sev30.wav|shiva
sev31.wav|shiva,ninja,tiger,fernando
sev32.wav|shiva,final crash
sev33.wav|shiva,tiger,fernando,ninja
sev34.wav|mr x,robot x,robotx,doctor
sev35.wav|ninja,mifune
sev36.wav|galsia,sor3,scream
sev37.wav|galsia,slum,enemy,scream,sor3
sev38.wav|robot,stump
sev39.wav|yamato,jutsu
sev4.wav|jet,throw
sev40.wav|yamato,jutsu
sev41.wav|yamato,jutsu
sev42.wav|yamato,jutsu
sev43.wav|dash
sev44.wav|ash,laught
sev45.wav|woman,scream,death,die,electra
sev46.wav|explosion,syndicate
sev47.wav|onihime,yasha,twins,mona,lisa,monalisa,woman
sev5.wav|Zamza
sev6.wav|barbon
sev7.wav|jack
sev9.wav|hakuyo,ninja,scream
shiva.fpg|shiva,playable
shivax.fpg|shiva,sor3
signal.fpg|signal
silver.fpg|suit,gun,pistol,revolver,sunglass
siren.wav|bad end,siren,people
skate.fpg|skate,sammy,eddie
slash.fpg|slash,jack,jason,knife,
slum.fpg|slum,enemy
soozie.fpg|garnet,soozie,enemy,woman
sor1.fpg|stage clear,hey,coop,rain,name,number
sor1_axel.fpg|axel,sor1
sor1_axel1.wav|axel,sor1
sor1_axel3.wav|axel,sor1,headbut
sor1_blaze.fpg|blaze,sor1
sor1_blaze1.wav|blaze,sor1
sor1_blaze2.wav|blaze,sor1,attack,impact
sor1_hit.wav|hit,attack,sor1
sor2_blaze.fpg|blaze,sor2
sor2_blaze1.wav|blaze,death,die
sor2_blaze2.wav|blaze,special,Kikou Shou,
sor2_blaze3.wav|Hishousouzan,blaze,blitz
sor2_shiva.fpg|shiva,sor2
sor2_skate.fpg|skate,sammy,eddie
sor2_skate1.wav|skate,sammy,eddie
sor2_skate2.wav|skate,sammy,eddie
sor2_skate3.wav|death,die,skate,sammy,eddie
sor3_axel1.wav|axel,sor3
sor3_axel2.wav|axel,death,die
sor3_axel3.wav|axel,blitz,grand upper
sor3_shiva.fpg|shiva,sor3
sor3_shiva1.wav|shiva,final crash,sor3
sorr.fpg|select screen,portraits,character,proprieties,stars,medal,rank,menu,names,gamepad,control
souther.fpg|claw,wolverine,freddy krueger,assasin
spanish.fpg|spanish,menu,names
stage.fpg|stage,select
stage1a.fpg|
stage1a.smk|
stage1b.fpg|
stage1b.smk|
stage1b_map.fpg|
stage1c.fpg|
stage1c.smk|
stage1d.fpg|
stage1d.smk|
stage1d_map.fpg|
stage1e.fpg|
stage1f.fpg|
stage1f.smk|
stage1f_map.fpg|
stage1g.fpg|
stage1g.smk|
stage1g_map.fpg|
stage1h.fpg|
stage1h.smk|
stage1h_map.fpg|
stage1i.fpg|
stage1i.smk|
stage1j.fpg|
stage1j.smk|
stage1k.fpg|
stage1k.smk|
stage1l.fpg|
stage2a.fpg|
stage2a.smk|
stage2a_map.fpg|
stage2b.fpg|
stage2b.smk|
stage2b_map.fpg|
stage2c.fpg|
stage2c.smk|
stage2d.fpg|
stage2d.smk|
stage2d_map.fpg|
stage2e.fpg|
stage2e.smk|
stage2e_map.fpg|
stage2f.fpg|
stage2f.smk|
stage2g.fpg|
stage2g.smk|
stage2h.fpg|
stage2h.smk|
stage2h_map.fpg|
stage2i.fpg|
stage2i.smk|
stage2i_map.fpg|
stage2j.fpg|
stage2j.smk|
stage2j_map.fpg|
stage2k.fpg|
stage2k.smk|
stage2l.fpg|
stage2l.smk|
stage2l_map.fpg|
stage2m.fpg|
stage2n.fpg|
stage2n.smk|
stage2o.fpg|
stage2o.smk|
stage2p.fpg|
stage3a.fpg|
stage3a.smk|
stage3b.fpg|
stage3b.smk|
stage3b_map.fpg|
stage3c.fpg|
stage3c.smk|
stage3d.fpg|
stage3d.smk|
stage3e.fpg|
stage3e.smk|
stage3e_map.fpg|
stage3f.fpg|
stage3f.smk|
stage3g.fpg|
stage3g.smk|
stage3h.fpg|
stage3h.smk|
stage3i.fpg|
stage3i.smk|
stage3j.fpg|
stage3j.smk|
stage3k.fpg|
stage3k.smk|
stage3l.fpg|
stage3l.smk|
stage3l_map.fpg|
stage3m.fpg|
stage3m.smk|
stage3n.fpg|
stage3n.smk|
stage4a.fpg|
stage4a.smk|
stage4b.fpg|
stage4b.smk|
stage4b_map.fpg|
stage4c.fpg|
stage4c_map.fpg|
stage4d.fpg|
stage4e.fpg|
stage4e.smk|
stage4e_map.fpg|
stage4f.fpg|
stage4f_map.fpg|
stage4g.fpg|
stage4g_map.fpg|
stage4h.fpg|
stage4h.smk|
stage4h_map.fpg|
stage4h_map2.fpg|
stage4i.fpg|
stage4i.smk|
stage4j.fpg|
stage4j.smk|
stage4k.fpg|
stage4k.smk|
stage5a.fpg|
stage5a.smk|
stage5b.fpg|
stage5b.smk|
stage5b_map.fpg|
stage5c.fpg|
stage5c.smk|
stage5c_map.fpg|
stage5d.fpg|
stage5d.smk|
stage5e.fpg|
stage5e.smk|
stage5f.fpg|
stage5g.fpg|
stage5g.smk|
stage5h.fpg|
stage5i.fpg|
stage5i.smk|
stage5i_map.fpg|
stage6a.fpg|
stage6a.smk|
stage6a_map.fpg|
stage6b.fpg|
stage6b.smk|
stage6b_map.fpg|
stage6c.fpg|
stage6c.smk|
stage6c_map.fpg|
stage6d.fpg|
stage6d.smk|
stage6e.fpg|
stage6e.smk|
stage6e_map.fpg|
stage6f.fpg|
stage6f.smk|
stage6g.fpg|
stage6h.fpg|
stage6h.smk|
stage7a.fpg|
stage7a.smk|
stage7b.fpg|
stage7b_map.fpg|
stage7c.fpg|
stage7c.smk|
stage7c_map.fpg|
stage7d.fpg|
stage7d.smk|
stage7e.fpg|
stage7e_map.fpg|
stage7f.fpg|
stage7f.smk|
stage7g.fpg|
stage7g.smk|
stage7h.fpg|
stage7h.smk|
stage8a.fpg|
stage8a.smk|
stage8b.fpg|
stage8b_map.fpg|
stage8c.fpg|
stage8c.smk|
stage8d.fpg|
stage8d.smk|
stage8d_map.fpg|
stage8e.fpg|
stage8e_map.fpg|
stage8f.fpg|
stage8f.smk|
stage8f_map.fpg|
stage8g.fpg|
stage8g.smk|
stage8g_map.fpg|
stage8h.fpg|
stage8h.smk|
stage8h_map.fpg|
stage8i.fpg|
stage8i.smk|
stage8i_map.fpg|
stage8j.fpg|
stage8j_map.fpg|
stage8k.fpg|
stage8k.smk|
stage8k_map.fpg|
stage8l.fpg|
stage8l.smk|
stage8m.fpg|
stage8n.fpg|
stage8o.fpg|
stage8o.smk|
stage8o_map.fpg|
stage_mode.fpg|
stage_mode1.fpg|
stage_mode2.fpg|
stage_mode3.fpg|
step0.wav|step,stomp
step1.wav|step,stomp
step2.wav|step,stomp
step3.wav|step,stomp
step4.wav|step,stomp
step5.wav|step,stomp
step6.wav|step,stomp
storm.fpg|storm,biker
stormx.fpg|storm,biker
superfx.fpg|
tienda.fpg|blaze,shopping,shop,cheat
tiger.fpg|tiger,fernando
tortugas.wav|
tren.wav|
truck.wav|
twins.fpg|yasha,onihime,mona,lisa,twins,monalisa
vball.fpg|
vehelits.fpg|vehelits,alien,monster,demon
vehelits1.wav|vehelits,alien,monster,demon
vehelits2.wav|vehelits,alien,monster,demon
vice.fpg|enemy,grab
viento.wav|wind
yamato.fpg|yamato,samurai
yamato16.fpg|yamato,samurai
yasha.fpg|yasha,onihime,mona,lisa,twins,monalisa
ysignal.fpg|signal,ysignal,sor2,slide
ysignalx.fpg|ysignal,signal,sor3,slide
zamza.fpg|zamza,blanka,mask,kabuki,claw
zan.fpg|zan
