abadede.fpg|wrestler,strong
falcon.fpg|falcon,joe higashi,muay thai,kick
fat.fpg|bongo,flame,fire,sor1
fgolpe.fpg|flash,hitflash,blood,spark,bright,explosion,wave,stream,smoke
firework.wav|new year
fuego.fpg|flame,fire,
fuente.fpg|font,letter
f_adam.fpg|
f_ash_char.fpg|
f_axel.fpg|
f_beta_max.fpg|beta max
f_bk3_axel.fpg|
f_blaze.fpg|
f_electra_char.fpg|
f_max.fpg|
f_mry.fpg|mrx
f_roo_char.fpg|victy,kangaroo
f_rudra_char.fpg|
f_skate.fpg|sammy,eddie
f_sor1_axel.fpg|
f_sor1_blaze.fpg|
f_sor2_blaze.fpg|
f_sor2_shiva.fpg|
f_sor2_skate.fpg|
f_sor3_shiva.fpg|
f_zan.fpg|
galeria.fpg|galery,artwork,concept art,art
galeria1.fpg|biography,story,info,character
galsia.fpg|sor2
galsiax.fpg|sor3
galsia_sor1.fpg|sor1
galvice.fpg|galsia,sorr,regatta
garnet.fpg|Soozie
gato.wav|cat
general.fpg|star,counter,gamepad,
gold.fpg|suit,gun,pistol,revolver,sunglass
hakuyo.fpg|haku,ninja,hadoken,sor2
haku_oh.fpg|haku,ninja,hakuyo,sor1
helicoptero1.wav|
helicoptero2.wav|gate
helicoptero3.wav|wind
icono.fpg|empty
iconox.fpg|characters
inicio.fpg|title screen,logo,game,sor,
intro1.fpg|
intro4.fpg|
intro5.fpg|
intro6.fpg|
intro7.fpg|
item.fpg|soda,water,juice,apple,candy,cherry,coffee,tea,pear,orange,musse,donut,pizza,hamburger,cheeseburger,burger,pineaple,meat,grapes,chicken,diamond,pearl,money,cash,glasses,glove,radio,coin,watch,gold,moneybag,pin,police,1up,life,special,gauge,specialbar,ok,super
item1eng.fpg|names,english
item1spa.fpg|names,spanish
jack.fpg|knife,laught
jet.fpg|jetpack
jetx.fpg|jetpack
letrero.fpg|signboard
lista_sormaker.fpg|
logo.fpg|bombergames
max.fpg|
mision9.fpg|
modos.fpg|menu,modes
movie.fpg|menu
mrx.fpg|mr x
mrx.wav|mr x
mry.fpg|
nameditor.fpg|
neox.fpg|robot,neo x,
ninja.fpg|shuriken,sword,sor2
ninjax.fpg|shuriken,sword,sor3
ninjo.fpg|shirtless,ninja,sword,sorr,remake
objeto.fpg|item,tube,pipe,cane,sword,bat,4x4,board,shiriken,kunai,granade,pepper,star wars,light,bottle,gun,pistol,machine gun,smg,bazooka,shotgun,flamethrower,flameshot,banhammer,shuriken,missile,yamato,clown,axe,obstacle,object,breakable,plant,trashcan,drum,box,crate,chest,lamp,buoy,table,wall,statue,sculpture,sandbag,pitcher,jug,arcade,alien egg,broken
onihime.fpg|yasha,mona,lisa,monalisa,twin,purple,woman
p1.fpg|robot
pajaros.wav|bird
particle.fpg|robot
payaso.fpg|clown,fire,sor1
police.fpg|murpy,cop,bazooka,helicopter,car
police_bonus.fpg|car,bonus,challenge
polvo.fpg|smoke,ground,stream
puerta.wav|door
puntos_tienda.fpg|score,end,
rbear.fpg|boxing,boxer,mustache
resultado.fpg|versus,multiplayer,battle,lines
resultado_s.fpg|versus,multiplayer,battle,lines
robotx.fpg|skull
rocket.fpg|jetpack
roo.fpg|kangaroo,victy
roo1.wav|kangaroo,victy
roo2.wav|kangaroo,victy,death
roo3.wav|kangaroo,victy
roo4.wav|kangaroo,victy,whistle
roo_char.fpg|kangaroo,victy
route_map.fpg|city
rudra.fpg|
rudra.wav|
rudra1.wav|end
rudra2.wav|end
rudra3.wav|end
rudra_char.fpg|
rudre.wav|end
scroll3.fpg|main,menu
scroll4.fpg|select screen
se1.wav|attack,punch
se10.wav|star,
se103.wav|zan,special
se104.wav|zan,death
se105.wav|zan
se11.wav|attack,punch
se12.wav|stomp
se13.wav|shock,electra,hit
se14.wav|whip,electra,hit
se15.wav|glass,hit,obstacle,object,breakable
se16.wav|knife,cut,pierce,knife,sword,claw,souther
se17.wav|axel,shiva,special
se18.wav|roll,spin
se19.wav|blaze,skate,sammy,eddie,kick,special
se2.wav|jump
se20.wav|skate,sammy,eddie
se21.wav|slide,max,signal
se22.wav|blaze,skate,sammy,eddie,kick,special
se23.wav|stomp
se24.wav|menu,select,choose,start,pause
se25.wav|menu,select,choose
se26.wav|go,ahead,foward,arrow,back,return,menu
se27.wav|elevator,floor
se28.wav|jet,shiva
se29.wav|bongo,fat,flame,fire,clown
se3.wav|shot
se30.wav|stomp
se31.wav|time,time over,game over,
se32.wav|i dont know
se33.wav|i dont know
se34.wav|axe,throw,hit,clown
se35.wav|rain,water,beach
se36.wav|sword,cut
se36a.wav|sword,light sword,light,star wars
se36b.wav|sword,light sword,light,star wars
se37.wav|hit,attack
se38.wav|score,sor1
se39.wav|i dont know
se4.wav|flame,fire
se40.wav|i dont know
se41.wav|elevator
se42.wav|police,helicopter
se43.wav|door,gate
se44.wav|bullet,mrx,mr x,gun,machine gun
se45.wav|fall,ground,throw
se46.wav|eat,food,item
se47.wav|audience,public,arena,abadede,people
se48.wav|drum,object,robot
se49.wav|granade,explosion,drum
se5.wav|attack,punch,throw
se50.wav|attack,punch
se51.wav|bike,motorbike,biker,vehicle,storm
se52.wav|explosion
se53.wav|axel,hit,grand upper
se54.wav|hit,attack
se55.wav|zan,run,robot
se56.wav|thunder,rain
se57.wav|title,intro
se58.wav|attack
se59.wav|hit,attack
se6.wav|throw
se60.wav|hit,attack
se61.wav|hit,attack
se62.wav|pause,menu
se63.wav|sonic,score,end
se64.wav|shot,gun
se65.wav|robot,stomp
se67.wav|headbut,axel,sor1
se68.wav|granade,fall,enemy,bongo
se69.wav|hit,attack,boxer,rbear
se7.wav|laser,shot
se70.wav|alien egg,
se71.wav|police,item,score
se72.wav|object,obstacle,light,hit
se73.wav|object,obstacle,light,hit
se74.wav|robot,hit,attack
se75.wav|police,car,vrum,aceleration
se76.wav|police,car,stop
se77.wav|police,shot
se78.wav|police,bazooka,flame,fire,explosion
se79.wav|explosion
se8.wav|whip,electra
se80.wav|laxine,bomb,explosion,hadoken
se81.wav|press,machine,trap,factory
se82.wav|shock,eletric,trap,laboratory,doctor
se83.wav|shock,eletric,trap,laboratory,doctor
se84.wav|train,railway,machine,trap
se85.wav|scream,woman,electra,firl,sor1
se86.wav|water,stomp,fall,jump
se87.wav|water,stomp
se88.wav|cutscene,scene,story,dialog
se89.wav|i dont know
se9.wav|1up,life
se90.wav|press,machine
seaxel1.wav|axel
seaxel2.wav|axel,grand upper,blitz
seaxel4.wav|axel,death
seblaze1.wav|blaze,death
seblaze2.wav|blaze
seblaze3.wav|blaze,blitz
seblaze4.wav|blaze,special
seblaze5.wav|blaze
seblaze6.wav|blaze
seblaze7.wav|blaze
seeker.fpg|robot,explosion
seg1.wav|hit,attack
seg2.wav|hit,attack
seg3.wav|hit,attack
seg4.wav|hit,attack
seg5.wav|hit,attack
seg6.wav|hit,attack,pipe
seg7.wav|hit,attack,pipe
seg8.wav|hit,attack,hadoken,hakuyo
seg9.wav|hit,attack
semax1.wav|
semax3.wav|death
semax4.wav|oriah
semax5.wav|special
seskate1.wav|sammy,eddie
seskate2.wav|sammy,eddie,death
seskate3.wav|sammy,eddie
seskate4.wav|sammy,eddie
seskate5.wav|sammy,eddie
seskate6.wav|sammy,eddie
sev1.wav|death,die
sev10.wav|granade,biker,storm
sev11.wav|bongo,fat,laught,robotx
sev12.wav|death,die
sev13.wav|death,die
sev17.wav|barbon
sev18.wav|scream,ninja
sev19.wav|abadede,scream
sev2.wav|death,die
sev20.wav|electra,blaze,woman
sev21.wav|mrx,mr x,laught
sev22.wav|death,die
sev23.wav|death,die
sev24.wav|death,die,yamato,shiva,bruce
sev25.wav|shiva,final crash,sor2
sev26.wav|oba
sev27.wav|barbon
sev29.wav|ninja,mifune
sev3.wav|signal,throw,ysignal
sev30.wav|shiva
sev31.wav|shiva,ninja,tiger,fabio
sev32.wav|shiva,final crash
sev33.wav|shiva,tiger,fabio,ninja
sev34.wav|mr x,robot x,robotx,doctor
sev35.wav|ninja,mifune
sev36.wav|galsia,sor3,scream
sev37.wav|galsia,slum,enemy,scream,sor3
sev38.wav|robot,stump
sev39.wav|yamato,jutsu,ninja
sev4.wav|jet,throw
sev40.wav|yamato,jutsu,ninja
sev41.wav|yamato,jutsu,ninja
sev42.wav|yamato,jutsu,ninja
sev43.wav|dash
sev44.wav|ash,laught
sev45.wav|woman,scream,death,die,electra
sev46.wav|explosion,syndicate
sev47.wav|onihime,yasha,twins,mona,lisa,monalisa,woman
sev5.wav|Zamza,blanka,mask
sev6.wav|barbon
sev7.wav|jack
sev9.wav|hakuyo,ninja,scream
shiva.fpg|playable
shivax.fpg|sor3
signal.fpg|ysignal,slide
silver.fpg|suit,gun,pistol,revolver,sunglass
siren.wav|bad end,people
skate.fpg|sammy,eddie
slash.fpg|jack,jason,knife,
slum.fpg|enemy
soozie.fpg|garnet,enemy,woman
sor1.fpg|stage clear,hey,coop,rain,name,number
sor1_axel.fpg|
sor1_axel1.wav|
sor1_axel3.wav|headbut
sor1_blaze.fpg|
sor1_blaze1.wav|
sor1_blaze2.wav|attack,impact
sor1_hit.wav|attack
sor2_blaze.fpg|
sor2_blaze1.wav|death,die
sor2_blaze2.wav|special,Kikou Shou,
sor2_blaze3.wav|Hishousouzan,blitz
sor2_shiva.fpg|
sor2_skate.fpg|sammy,eddie
sor2_skate1.wav|sammy,eddie
sor2_skate2.wav|sammy,eddie
sor2_skate3.wav|death,die,sammy,eddie
sor3_axel1.wav|
sor3_axel2.wav|death,die
sor3_axel3.wav|blitz,grand upper
sor3_shiva.fpg|sor3
sor3_shiva1.wav|final crash
sorr.fpg|select screen,portraits,character,proprieties,stars,medal,rank,menu,names,gamepad,control
souther.fpg|claw,wolverine,freddy krueger,assasin
spanish.fpg|menu,names
stage.fpg|blood,select
step0.wav|step,stomp
step1.wav|step,stomp
step2.wav|step,stomp
step3.wav|step,stomp
step4.wav|step,stomp
step5.wav|step,stomp
step6.wav|step,stomp
storm.fpg|biker
stormx.fpg|biker
superfx.fpg|
tienda.fpg|blaze,shopping,cheat
tiger.fpg|fabio
tortugas.wav|
tren.wav|
truck.wav|
twins.fpg|yasha,onihime,mona,lisa,monalisa,woman
vball.fpg|
vehelits.fpg|alien,monster,demon
vehelits1.wav|alien,monster,demon
vehelits2.wav|alien,monster,demon
vice.fpg|enemy,grab
viento.wav|wind
yamato.fpg|samurai,ninja
yamato16.fpg|samurai,ninja
yasha.fpg|onihime,mona,lisa,twins,monalisa,woman
ysignal.fpg|sor2,slide
ysignalx.fpg|sor3,slide
zamza.fpg|blanka,mask,kabuki,claw
zan.fpg|
